,Date,Location,Efficiency of the admissions process,Helpfulness of admitting staff,Usefulness of leaflets provided,"Explanations about procedures, tests and treatment options",Explanation about benefits/risks of surgical interventions,Opportunity to ask questions about your condition or treatment,Nursing care and attention,Response time to nursing call system,Pain relief, Respect for your privacy,Comfort of room & surroundings,Cleanliness of room & surroundings,Attractiveness/decor,Timeliness of catering service,Quality of food served,Quantity of food served,Time given to planning your return home,Explanations about how to manage your condition and recovery at home,Clarity of instructions on take home medications, Efficiency of discharge process,Efficiency of billings process,Clarity of billing information,Staff Helpfulness,Quality of service you received
66,April 2019,Awolowo,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,,4.0,4.0,5.0,5.0,5.0,3.0,4.0,,4.0,5.0,5.0,3.0,3.0,5.0,5.0
67,April 2019,Awolowo,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,,4.0,5.0,5.0,4.0,5.0,3.0,5.0,,4.0,5.0,3.0,,5.0,5.0,
68,April 2019,Awolowo,4.0,4.0,,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
69,April 2019,Awolowo,4.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,,,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,,5.0
70,April 2019,Awolowo,5.0,5.0,4.0,,,5.0,5.0,4.0,,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,,
71,April 2019,Awolowo,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,,5.0
72,April 2019,Awolowo,4.0,5.0,4.0,5.0,,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,,5.0,5.0,5.0,
73,April 2019,Awolowo,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,,5.0,5.0,4.0,5.0,5.0,3.0,4.0,,5.0,5.0,5.0,5.0,5.0,4.0,5.0
74,April 2019,Awolowo,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,,3.0,4.0,4.0
75,April 2019,Awolowo,5.0,4.0,,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0
76,April 2019,Awolowo,5.0,,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0
77,April 2019,Awolowo,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0
78,April 2019,Awolowo,4.0,4.0,5.0,4.0,,4.0,4.0,5.0,5.0,5.0,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,,5.0,4.0,5.0,
79,April 2019,Awolowo,4.0,4.0,,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,,4.0,5.0
